Counter,Date/time,Location,Temperature,Humidity,acc_x,acc_y,acc_z,yaw,pitch,roll,gyro_x,gyro_y,gyro_z
1,2022-04-16 14:58:12.222446,IERS2010 latitude +49.6224 N longitude -35.5121 E elevation 421074.7 m,35.2047,28.6092,0.02,0.031,0.015,192.414,330.08,64.387,-0.0,0.001,0.001
2,2022-04-16 14:58:16.407641,IERS2010 latitude +49.5395 N longitude -35.1244 E elevation 421071.1 m,35.1514,28.6214,0.021,0.031,0.014,191.546,329.724,64.078,0.001,0.002,0.002
3,2022-04-16 14:58:20.565997,IERS2010 latitude +49.4572 N longitude -34.7471 E elevation 421067.2 m,35.1692,28.6979,0.023,0.029,0.011,190.428,329.624,63.561,0.002,0.0,0.001
4,2022-04-16 14:58:24.712111,IERS2010 latitude +49.3740 N longitude -34.3733 E elevation 421063.1 m,35.0803,28.6734,0.021,0.031,0.015,189.215,329.571,63.316,-0.001,0.0,0.002
5,2022-04-16 14:58:28.887188,IERS2010 latitude +49.2895 N longitude -34.0006 E elevation 421058.7 m,35.1336,28.5786,0.019,0.031,0.013,188.559,329.563,63.437,0.002,0.002,0.001
6,2022-04-16 14:58:33.045637,IERS2010 latitude +49.2032 N longitude -33.6276 E elevation 421054.0 m,35.2047,28.7193,0.021,0.031,0.016,188.426,329.65,62.997,0.003,0.002,0.001
7,2022-04-16 14:58:37.191766,IERS2010 latitude +49.1161 N longitude -33.2575 E elevation 421049.1 m,35.1514,28.7193,0.015,0.031,0.011,187.246,329.435,63.089,0.001,0.001,-0.001
8,2022-04-16 14:58:41.360644,IERS2010 latitude +49.0277 N longitude -32.8891 E elevation 421043.8 m,35.2047,28.6826,0.018,0.031,0.012,187.004,329.549,63.456,0.001,0.002,-0.0
9,2022-04-16 14:58:45.526563,IERS2010 latitude +48.9376 N longitude -32.5206 E elevation 421038.3 m,35.2047,28.6979,0.019,0.031,0.014,187.952,329.472,63.077,-0.0,0.0,0.002
10,2022-04-16 14:58:49.689878,IERS2010 latitude +48.8463 N longitude -32.1536 E elevation 421032.5 m,35.1336,28.9243,0.019,0.031,0.015,187.035,329.823,63.587,0.001,0.002,-0.001
11,2022-04-16 14:58:53.870692,IERS2010 latitude +48.7536 N longitude -31.7875 E elevation 421026.4 m,35.2047,28.7468,0.02,0.031,0.013,186.362,330.02,64.063,0.0,-0.0,0.001
12,2022-04-16 14:58:58.023757,IERS2010 latitude +48.6598 N longitude -31.4232 E elevation 421020.1 m,35.1336,28.4011,0.019,0.033,0.018,187.44,330.261,63.56,0.0,-0.0,0.001
13,2022-04-16 14:59:02.198301,IERS2010 latitude +48.5648 N longitude -31.0609 E elevation 421013.5 m,35.2225,28.6581,0.02,0.031,0.015,187.848,330.61,64.323,-0.001,-0.001,0.001
14,2022-04-16 14:59:07.357288,IERS2010 latitude +48.4449 N longitude -30.6123 E elevation 421005.0 m,35.1158,28.603,0.025,0.029,0.013,187.789,330.546,64.271,0.001,-0.0,-0.002
15,2022-04-16 14:59:11.502931,IERS2010 latitude +48.3474 N longitude -30.2541 E elevation 420997.8 m,35.2225,28.3644,0.024,0.029,0.015,186.759,330.325,64.68,-0.001,0.001,0.0
16,2022-04-16 14:59:15.662391,IERS2010 latitude +48.2486 N longitude -29.8973 E elevation 420990.4 m,35.2759,28.4745,0.02,0.032,0.013,185.363,330.046,65.346,-0.001,0.0,0.002
17,2022-04-16 14:59:20.834600,IERS2010 latitude +48.1239 N longitude -29.4550 E elevation 420980.8 m,35.1158,28.3644,0.02,0.032,0.014,184.978,330.064,65.16,0.002,-0.004,-0.0
18,2022-04-16 14:59:25.993736,IERS2010 latitude +47.9976 N longitude -29.0155 E elevation 420970.8 m,35.1158,28.7621,0.019,0.03,0.013,184.263,330.096,65.204,-0.0,0.0,0.0
19,2022-04-16 14:59:30.155569,IERS2010 latitude +47.8945 N longitude -28.6634 E elevation 420962.5 m,35.0803,28.5633,0.019,0.032,0.012,183.378,330.176,64.875,-0.004,0.001,0.002
20,2022-04-16 14:59:34.320436,IERS2010 latitude +47.7901 N longitude -28.3122 E elevation 420953.9 m,35.1158,28.7407,0.02,0.032,0.012,181.805,330.425,65.689,0.001,0.0,-0.0
21,2022-04-16 14:59:38.476866,IERS2010 latitude +47.6846 N longitude -27.9626 E elevation 420945.1 m,35.0981,28.6948,0.021,0.031,0.012,181.394,329.755,65.921,-0.002,0.0,0.0
22,2022-04-16 14:59:42.637105,IERS2010 latitude +47.5779 N longitude -27.6145 E elevation 420936.0 m,35.0981,28.7407,0.019,0.031,0.013,180.289,330.254,66.443,0.001,0.001,-0.0
23,2022-04-16 14:59:47.809939,IERS2010 latitude +47.4436 N longitude -27.1839 E elevation 420924.5 m,35.0981,28.6673,0.02,0.032,0.014,178.151,330.338,66.288,0.0,-0.002,-0.0
24,2022-04-16 14:59:51.970749,IERS2010 latitude +47.3343 N longitude -26.8393 E elevation 420914.9 m,35.0269,27.523,0.021,0.032,0.013,176.674,329.848,66.175,-0.001,-0.001,0.002
25,2022-04-16 14:59:56.130774,IERS2010 latitude +47.2238 N longitude -26.4959 E elevation 420905.0 m,35.0625,28.7254,0.019,0.031,0.016,176.38,329.814,65.946,0.002,0.001,0.001
26,2022-04-16 15:00:00.298880,IERS2010 latitude +47.1123 N longitude -26.1543 E elevation 420895.0 m,35.1158,28.7071,0.021,0.032,0.015,176.94,329.694,65.567,0.001,-0.001,-0.0
27,2022-04-16 15:00:04.455957,IERS2010 latitude +46.9994 N longitude -25.8134 E elevation 420884.6 m,35.0447,28.4837,0.018,0.033,0.012,175.618,329.887,65.292,0.001,0.001,-0.001
28,2022-04-16 15:00:08.602664,IERS2010 latitude +46.8858 N longitude -25.4753 E elevation 420874.1 m,35.0092,28.7621,0.021,0.033,0.014,175.667,329.76,65.574,-0.001,0.002,0.001
29,2022-04-16 15:00:12.762279,IERS2010 latitude +46.7711 N longitude -25.1387 E elevation 420863.4 m,35.1158,28.753,0.019,0.032,0.013,175.345,329.805,65.407,0.001,-0.001,-0.001
30,2022-04-16 15:00:16.936277,IERS2010 latitude +46.6553 N longitude -24.8035 E elevation 420852.5 m,35.0447,28.7346,0.02,0.034,0.015,173.896,330.108,65.647,0.001,-0.001,0.001
31,2022-04-16 15:00:21.087188,IERS2010 latitude +46.5379 N longitude -24.4684 E elevation 420841.2 m,35.0625,28.499,0.018,0.032,0.016,173.476,330.182,66.044,0.001,0.0,-0.001
32,2022-04-16 15:00:25.233039,IERS2010 latitude +46.4201 N longitude -24.1368 E elevation 420829.9 m,34.9914,28.7224,0.017,0.032,0.013,173.442,330.633,65.943,0.001,0.0,0.001
33,2022-04-16 15:00:29.392391,IERS2010 latitude +46.3012 N longitude -23.8064 E elevation 420818.3 m,34.9736,28.5633,0.02,0.031,0.014,174.107,330.241,65.811,-0.0,-0.002,-0.0
34,2022-04-16 15:00:33.559491,IERS2010 latitude +46.1809 N longitude -23.4768 E elevation 420806.4 m,35.1158,28.4195,0.021,0.031,0.014,174.442,330.104,65.971,-0.003,0.002,0.002
35,2022-04-16 15:00:37.720348,IERS2010 latitude +46.0594 N longitude -23.1483 E elevation 420794.4 m,35.0447,28.6245,0.019,0.032,0.01,173.681,330.23,66.518,0.002,-0.0,0.001
36,2022-04-16 15:00:41.880858,IERS2010 latitude +45.9370 N longitude -22.8216 E elevation 420782.1 m,35.0269,28.5816,0.021,0.031,0.015,173.433,330.122,65.879,-0.003,0.001,0.001
37,2022-04-16 15:00:46.032703,IERS2010 latitude +45.8136 N longitude -22.4963 E elevation 420769.7 m,35.0803,28.6245,0.02,0.032,0.011,173.483,330.134,65.51,0.002,0.0,0.002
38,2022-04-16 15:00:50.193079,IERS2010 latitude +45.6895 N longitude -22.1736 E elevation 420757.0 m,35.0447,28.5786,0.02,0.031,0.013,173.555,330.362,65.78,-0.0,-0.001,0.001
39,2022-04-16 15:00:54.352826,IERS2010 latitude +45.5641 N longitude -21.8516 E elevation 420744.2 m,35.0092,28.6061,0.02,0.03,0.014,174.034,330.384,65.682,-0.001,0.001,0.001
40,2022-04-16 15:00:58.506304,IERS2010 latitude +45.4376 N longitude -21.5309 E elevation 420731.1 m,35.0269,28.6642,0.021,0.032,0.014,173.709,330.196,65.205,-0.001,-0.001,-0.0
41,2022-04-16 15:01:02.681761,IERS2010 latitude +45.3105 N longitude -21.2126 E elevation 420717.9 m,35.0269,28.603,0.019,0.031,0.013,172.362,329.759,65.698,-0.003,0.002,-0.001
42,2022-04-16 15:01:06.840573,IERS2010 latitude +45.1815 N longitude -20.8937 E elevation 420704.4 m,35.0803,28.5174,0.021,0.031,0.014,173.452,329.906,65.066,-0.001,-0.001,0.0
43,2022-04-16 15:01:11.000763,IERS2010 latitude +45.0521 N longitude -20.5777 E elevation 420690.8 m,35.1158,28.7438,0.02,0.033,0.013,171.994,330.266,64.917,-0.001,0.0,0.001
44,2022-04-16 15:01:15.168837,IERS2010 latitude +44.9217 N longitude -20.2632 E elevation 420677.0 m,35.0447,28.4807,0.02,0.031,0.013,172.249,330.381,64.835,0.001,-0.001,-0.0
45,2022-04-16 15:01:19.325961,IERS2010 latitude +44.7902 N longitude -19.9497 E elevation 420663.0 m,35.0269,28.6826,0.024,0.03,0.013,171.132,330.198,65.723,-0.003,-0.003,0.0
46,2022-04-16 15:01:23.472138,IERS2010 latitude +44.6582 N longitude -19.6390 E elevation 420648.9 m,35.0625,28.8998,0.017,0.033,0.012,169.651,330.198,66.346,-0.001,-0.0,-0.001
47,2022-04-16 15:01:27.632062,IERS2010 latitude +44.5253 N longitude -19.3296 E elevation 420634.6 m,35.0269,28.7897,0.02,0.031,0.014,168.301,330.62,66.862,-0.0,0.0,-0.0
48,2022-04-16 15:01:31.802110,IERS2010 latitude +44.3911 N longitude -19.0211 E elevation 420620.1 m,35.0447,28.6734,0.019,0.031,0.014,169.666,330.31,66.964,0.002,-0.0,0.001
49,2022-04-16 15:01:35.961055,IERS2010 latitude +44.2559 N longitude -18.7138 E elevation 420605.4 m,35.1336,28.7254,0.025,0.029,0.014,168.719,329.824,66.691,-0.0,0.001,0.0
50,2022-04-16 15:01:40.136482,IERS2010 latitude +44.1198 N longitude -18.4081 E elevation 420590.6 m,35.0269,28.5266,0.02,0.031,0.015,168.729,330.33,66.801,0.001,0.0,-0.001
51,2022-04-16 15:01:44.302707,IERS2010 latitude +43.9824 N longitude -18.1029 E elevation 420575.5 m,34.9914,28.5755,0.02,0.031,0.014,168.625,330.056,66.617,0.0,-0.0,0.001
52,2022-04-16 15:01:48.465317,IERS2010 latitude +43.8446 N longitude -17.8003 E elevation 420560.4 m,35.0803,28.6459,0.016,0.032,0.012,166.563,330.039,66.184,-0.002,-0.0,-0.002
53,2022-04-16 15:01:52.622264,IERS2010 latitude +43.7056 N longitude -17.4986 E elevation 420545.0 m,35.0625,29.3955,0.02,0.032,0.014,164.318,330.172,66.123,-0.0,0.002,0.001
54,2022-04-16 15:01:56.793673,IERS2010 latitude +43.5663 N longitude -17.1995 E elevation 420529.6 m,35.1158,28.958,0.02,0.032,0.015,163.28,330.754,66.617,-0.001,0.003,0.003
55,2022-04-16 15:02:00.951481,IERS2010 latitude +43.4253 N longitude -16.9003 E elevation 420513.9 m,35.0269,28.704,0.02,0.03,0.01,162.655,330.856,66.909,0.002,-0.001,0.001
56,2022-04-16 15:02:05.107331,IERS2010 latitude +43.2840 N longitude -16.6037 E elevation 420498.2 m,34.9914,28.2757,0.02,0.032,0.013,161.444,330.782,66.002,0.002,-0.001,-0.001
57,2022-04-16 15:02:09.278632,IERS2010 latitude +43.1419 N longitude -16.3087 E elevation 420482.3 m,34.9736,28.7224,0.021,0.031,0.015,162.138,330.573,65.965,-0.001,0.002,-0.001
58,2022-04-16 15:02:13.433460,IERS2010 latitude +42.9987 N longitude -16.0145 E elevation 420466.2 m,35.0269,28.4898,0.02,0.031,0.019,163.121,330.469,65.643,-0.001,-0.0,-0.001
59,2022-04-16 15:02:17.587358,IERS2010 latitude +42.8549 N longitude -15.7223 E elevation 420450.1 m,35.0269,28.6489,0.019,0.031,0.013,163.16,330.904,65.332,0.003,0.001,-0.001
60,2022-04-16 15:02:21.759068,IERS2010 latitude +42.7102 N longitude -15.4315 E elevation 420433.8 m,35.0803,28.496,0.018,0.032,0.012,162.3,331.082,65.512,-0.001,0.002,-0.0
61,2022-04-16 15:02:25.913263,IERS2010 latitude +42.5645 N longitude -15.1418 E elevation 420417.3 m,35.0269,28.5449,0.02,0.032,0.017,163.742,330.681,66.035,-0.001,0.002,0.0
62,2022-04-16 15:02:30.067567,IERS2010 latitude +42.4182 N longitude -14.8539 E elevation 420400.8 m,35.0803,28.7071,0.021,0.032,0.017,164.689,330.446,66.595,-0.002,0.001,0.002
63,2022-04-16 15:02:34.239040,IERS2010 latitude +42.2712 N longitude -14.5675 E elevation 420384.1 m,35.1336,28.7071,0.02,0.031,0.014,162.595,330.111,65.85,-0.0,0.001,-0.0
64,2022-04-16 15:02:38.400112,IERS2010 latitude +42.1229 N longitude -14.2817 E elevation 420367.3 m,35.0447,28.7591,0.019,0.032,0.016,162.663,329.913,65.602,-0.004,-0.001,-0.001
65,2022-04-16 15:02:42.561212,IERS2010 latitude +41.9740 N longitude -13.9976 E elevation 420350.3 m,35.0447,28.4715,0.019,0.031,0.016,162.276,329.868,65.701,0.0,0.0,-0.002
66,2022-04-16 15:02:46.736078,IERS2010 latitude +41.8243 N longitude -13.7151 E elevation 420333.3 m,35.0447,28.8601,0.021,0.03,0.015,162.603,329.744,65.558,0.0,-0.0,-0.001
67,2022-04-16 15:02:50.887138,IERS2010 latitude +41.6735 N longitude -13.4333 E elevation 420316.1 m,35.0092,28.7101,0.022,0.031,0.016,161.879,329.351,65.074,-0.0,0.001,0.001
68,2022-04-16 15:02:55.033331,IERS2010 latitude +41.5229 N longitude -13.1546 E elevation 420298.9 m,35.0092,28.7438,0.019,0.03,0.012,161.225,329.773,64.882,-0.002,0.001,0.0
69,2022-04-16 15:02:59.192193,IERS2010 latitude +41.3713 N longitude -12.8769 E elevation 420281.6 m,35.0625,28.5021,0.02,0.032,0.012,156.233,330.134,64.569,0.001,0.001,0.0
70,2022-04-16 15:03:03.366267,IERS2010 latitude +41.2186 N longitude -12.5999 E elevation 420264.2 m,35.0092,28.5204,0.02,0.032,0.016,157.322,330.475,64.29,0.002,-0.002,0.0
71,2022-04-16 15:03:07.520789,IERS2010 latitude +41.0650 N longitude -12.3240 E elevation 420246.6 m,35.0625,28.6673,0.021,0.031,0.014,156.931,330.59,64.647,0.001,-0.001,0.002
72,2022-04-16 15:03:11.680471,IERS2010 latitude +40.9108 N longitude -12.0499 E elevation 420229.0 m,35.1158,28.6245,0.02,0.032,0.016,157.622,330.646,64.286,0.003,-0.002,-0.001
73,2022-04-16 15:03:15.848765,IERS2010 latitude +40.7559 N longitude -11.7771 E elevation 420211.3 m,35.0269,28.6612,0.019,0.03,0.014,155.67,330.778,64.79,-0.001,0.002,-0.001
74,2022-04-16 15:03:20.005911,IERS2010 latitude +40.6001 N longitude -11.5053 E elevation 420193.5 m,35.0625,28.805,0.02,0.031,0.014,150.493,330.247,64.705,-0.002,0.001,-0.001
75,2022-04-16 15:03:24.152271,IERS2010 latitude +40.4440 N longitude -11.2357 E elevation 420175.7 m,35.0803,28.6275,0.02,0.032,0.011,145.575,329.921,64.594,-0.001,-0.001,-0.002
76,2022-04-16 15:03:28.312084,IERS2010 latitude +40.2872 N longitude -10.9673 E elevation 420157.7 m,35.0447,28.6826,0.019,0.031,0.014,140.996,330.305,65.606,0.004,0.001,0.001
77,2022-04-16 15:03:32.481934,IERS2010 latitude +40.1295 N longitude -10.6999 E elevation 420139.7 m,34.9914,28.5877,0.019,0.03,0.014,137.627,330.559,65.738,0.0,0.001,-0.0
78,2022-04-16 15:03:36.637091,IERS2010 latitude +39.9710 N longitude -10.4337 E elevation 420121.6 m,35.0803,28.5694,0.024,0.03,0.015,135.195,330.488,65.987,0.0,0.001,0.0
79,2022-04-16 15:03:40.782607,IERS2010 latitude +39.8119 N longitude -10.1690 E elevation 420103.5 m,35.187,28.5541,0.02,0.032,0.015,129.974,330.64,66.595,-0.001,0.001,-0.001
80,2022-04-16 15:03:44.938026,IERS2010 latitude +39.6525 N longitude -9.9061 E elevation 420085.3 m,35.0269,28.808,0.02,0.033,0.012,128.869,330.673,66.6,0.002,-0.002,-0.001
81,2022-04-16 15:03:49.114101,IERS2010 latitude +39.4922 N longitude -9.6442 E elevation 420067.1 m,35.0269,28.7407,0.02,0.033,0.013,124.75,330.851,66.593,0.003,0.0,-0.001
82,2022-04-16 15:03:53.268367,IERS2010 latitude +39.3306 N longitude -9.3826 E elevation 420048.7 m,34.9736,28.7254,0.021,0.031,0.014,124.438,330.839,66.324,0.001,-0.003,0.0
83,2022-04-16 15:03:57.413135,IERS2010 latitude +39.1690 N longitude -9.1233 E elevation 420030.3 m,35.0803,28.7407,0.022,0.029,0.011,121.373,330.743,65.777,0.0,0.001,0.001
84,2022-04-16 15:04:01.568023,IERS2010 latitude +39.0069 N longitude -8.8655 E elevation 420012.0 m,35.0269,28.4776,0.02,0.031,0.014,117.503,330.593,65.612,-0.004,-0.001,0.001
85,2022-04-16 15:04:05.734452,IERS2010 latitude +38.8439 N longitude -8.6087 E elevation 419993.5 m,35.0269,28.6489,0.023,0.031,0.013,115.562,330.57,66.154,-0.001,0.001,0.001
86,2022-04-16 15:04:09.893706,IERS2010 latitude +38.6799 N longitude -8.3525 E elevation 419975.0 m,35.0981,28.8142,0.019,0.03,0.015,110.848,330.852,66.107,0.0,0.002,-0.001
87,2022-04-16 15:04:14.049089,IERS2010 latitude +38.5155 N longitude -8.0979 E elevation 419956.4 m,35.0269,28.6642,0.021,0.032,0.015,108.591,330.176,66.173,0.002,-0.001,0.002
88,2022-04-16 15:04:18.206579,IERS2010 latitude +38.3505 N longitude -7.8446 E elevation 419937.9 m,34.9914,28.551,0.019,0.031,0.015,103.658,330.198,65.742,0.001,-0.001,-0.001
89,2022-04-16 15:04:22.381539,IERS2010 latitude +38.1849 N longitude -7.5926 E elevation 419919.3 m,34.9914,28.7774,0.021,0.032,0.013,100.805,330.184,65.199,0.001,-0.002,0.0
90,2022-04-16 15:04:26.535516,IERS2010 latitude +38.0180 N longitude -7.3406 E elevation 419900.6 m,35.1158,28.701,0.024,0.033,0.017,101.256,330.095,65.386,-0.001,0.001,0.001
91,2022-04-16 15:04:30.688745,IERS2010 latitude +37.8512 N longitude -7.0911 E elevation 419882.0 m,35.1158,28.4807,0.019,0.031,0.014,99.641,330.144,65.936,-0.001,-0.0,-0.0
92,2022-04-16 15:04:34.864828,IERS2010 latitude +37.6841 N longitude -6.8432 E elevation 419863.3 m,35.0269,28.9121,0.019,0.03,0.014,96.687,329.981,66.172,-0.001,-0.0,-0.002
93,2022-04-16 15:04:39.027866,IERS2010 latitude +37.5156 N longitude -6.5952 E elevation 419844.6 m,35.0981,28.7071,0.02,0.031,0.015,93.424,330.032,66.005,-0.001,-0.001,0.002
94,2022-04-16 15:04:43.182826,IERS2010 latitude +37.3467 N longitude -6.3489 E elevation 419825.9 m,35.0092,28.6612,0.019,0.031,0.014,91.938,329.9,67.123,-0.0,-0.0,0.001
95,2022-04-16 15:04:47.336214,IERS2010 latitude +37.1774 N longitude -6.1038 E elevation 419807.2 m,35.0981,28.7071,0.018,0.032,0.015,87.282,329.951,66.191,0.001,0.0,-0.001
96,2022-04-16 15:04:51.500590,IERS2010 latitude +37.0078 N longitude -5.8605 E elevation 419788.6 m,35.0447,28.4654,0.02,0.031,0.014,86.197,329.992,65.703,0.002,-0.0,-0.001
97,2022-04-16 15:04:55.660486,IERS2010 latitude +36.8372 N longitude -5.6176 E elevation 419769.9 m,35.0447,28.8417,0.02,0.031,0.013,82.183,330.233,65.147,0.0,-0.002,-0.001
98,2022-04-16 15:04:59.816994,IERS2010 latitude +36.6661 N longitude -5.3761 E elevation 419751.2 m,35.0092,28.5755,0.021,0.031,0.016,79.082,330.116,65.289,-0.001,-0.0,-0.001
99,2022-04-16 15:05:03.990827,IERS2010 latitude +36.4946 N longitude -5.1358 E elevation 419732.5 m,35.0625,28.5327,0.02,0.031,0.015,75.01,330.21,65.167,-0.002,0.0,0.001
100,2022-04-16 15:05:08.141501,IERS2010 latitude +36.3220 N longitude -4.8959 E elevation 419713.8 m,35.0447,28.8784,0.016,0.033,0.012,72.093,330.415,65.306,-0.001,0.002,0.001
101,2022-04-16 15:05:12.302083,IERS2010 latitude +36.1496 N longitude -4.6583 E elevation 419695.2 m,35.0803,28.7224,0.021,0.032,0.014,71.136,330.422,65.718,0.001,0.001,-0.0
102,2022-04-16 15:05:16.476043,IERS2010 latitude +35.9763 N longitude -4.4212 E elevation 419676.6 m,35.1336,28.4868,0.021,0.032,0.014,69.708,330.194,66.225,0.002,-0.0,0.0
103,2022-04-16 15:05:20.627065,IERS2010 latitude +35.8021 N longitude -4.1849 E elevation 419658.0 m,35.0625,28.8019,0.025,0.029,0.015,68.866,329.88,65.854,-0.001,-0.001,-0.0
104,2022-04-16 15:05:24.772817,IERS2010 latitude +35.6282 N longitude -3.9507 E elevation 419639.4 m,35.0447,28.7591,0.018,0.034,0.014,66.908,329.78,65.967,-0.0,-0.001,-0.0
105,2022-04-16 15:05:28.932229,IERS2010 latitude +35.4536 N longitude -3.7173 E elevation 419620.9 m,35.0625,28.8142,0.02,0.033,0.013,64.358,329.47,65.606,0.0,0.0,0.001
106,2022-04-16 15:05:33.099789,IERS2010 latitude +35.2781 N longitude -3.4846 E elevation 419602.4 m,35.0269,28.5327,0.02,0.033,0.014,64.019,329.991,65.418,-0.002,-0.001,0.0
107,2022-04-16 15:05:37.259915,IERS2010 latitude +35.1021 N longitude -3.2530 E elevation 419584.0 m,35.0803,28.7805,0.021,0.03,0.012,61.314,330.319,66.009,0.002,-0.0,-0.0
108,2022-04-16 15:05:41.420173,IERS2010 latitude +34.9257 N longitude -3.0225 E elevation 419565.6 m,35.1514,28.756,0.02,0.031,0.013,62.209,330.564,65.626,0.001,-0.001,0.002
109,2022-04-16 15:05:45.595264,IERS2010 latitude +34.7487 N longitude -2.7930 E elevation 419547.2 m,35.0625,28.6857,0.022,0.031,0.015,60.139,330.243,65.399,0.0,-0.0,-0.001
110,2022-04-16 15:05:49.741563,IERS2010 latitude +34.5709 N longitude -2.5642 E elevation 419528.9 m,35.0803,28.4715,0.02,0.032,0.012,58.746,330.403,65.299,-0.0,-0.001,-0.001
111,2022-04-16 15:05:53.902023,IERS2010 latitude +34.3933 N longitude -2.3374 E elevation 419510.6 m,35.0803,28.496,0.019,0.032,0.014,57.177,330.337,64.957,-0.001,-0.001,-0.002
112,2022-04-16 15:05:58.077195,IERS2010 latitude +34.2145 N longitude -2.1106 E elevation 419492.4 m,35.0447,28.4654,0.02,0.031,0.015,55.114,330.166,65.028,0.0,-0.0,0.002
113,2022-04-16 15:06:02.235371,IERS2010 latitude +34.0354 N longitude -1.8852 E elevation 419474.3 m,35.0269,28.7377,0.021,0.033,0.014,51.944,330.59,65.158,0.001,0.001,-0.001
114,2022-04-16 15:06:06.386083,IERS2010 latitude +33.8563 N longitude -1.6612 E elevation 419456.2 m,35.0803,28.6245,0.018,0.031,0.015,50.091,330.352,66.013,-0.001,-0.001,0.0
115,2022-04-16 15:06:10.542508,IERS2010 latitude +33.6768 N longitude -1.4385 E elevation 419438.3 m,35.0447,28.8539,0.019,0.031,0.015,47.6,330.572,66.227,0.0,0.001,0.001
116,2022-04-16 15:06:14.706747,IERS2010 latitude +33.4964 N longitude -1.2162 E elevation 419420.4 m,35.0981,28.7805,0.024,0.031,0.016,46.662,330.338,66.229,0.002,-0.001,-0.001
117,2022-04-16 15:06:18.877902,IERS2010 latitude +33.3155 N longitude -0.9948 E elevation 419402.5 m,35.0803,28.7254,0.02,0.032,0.015,46.575,330.61,66.797,0.002,-0.001,-0.001
118,2022-04-16 15:06:23.035678,IERS2010 latitude +33.1338 N longitude -0.7740 E elevation 419384.7 m,35.0092,28.7071,0.022,0.03,0.013,46.848,330.431,66.845,0.001,0.002,0.001
119,2022-04-16 15:06:27.187729,IERS2010 latitude +32.9521 N longitude -0.5547 E elevation 419367.1 m,34.9736,28.5663,0.024,0.03,0.017,44.387,330.189,66.39,-0.001,-0.002,-0.0
120,2022-04-16 15:06:31.364897,IERS2010 latitude +32.7702 N longitude -0.3368 E elevation 419349.6 m,35.0803,28.704,0.02,0.031,0.013,44.003,330.034,66.794,-0.002,-0.0,0.001
121,2022-04-16 15:06:35.523904,IERS2010 latitude +32.5869 N longitude -0.1186 E elevation 419332.0 m,35.0447,28.6979,0.02,0.032,0.012,43.048,329.668,67.031,-0.002,-0.001,0.0
122,2022-04-16 15:06:40.686988,IERS2010 latitude +32.3594 N longitude 0.1501 E elevation 419310.4 m,35.0092,28.6979,0.021,0.031,0.015,42.372,329.835,66.122,0.001,-0.001,-0.001
123,2022-04-16 15:06:44.860539,IERS2010 latitude +32.1762 N longitude 0.3648 E elevation 419293.2 m,34.9914,28.7468,0.019,0.031,0.015,41.165,329.981,66.012,0.002,0.002,-0.002
124,2022-04-16 15:06:49.011117,IERS2010 latitude +31.9917 N longitude 0.5797 E elevation 419276.1 m,35.0625,28.7866,0.023,0.031,0.013,42.126,330.058,65.606,-0.0,-0.002,-0.001
125,2022-04-16 15:06:53.171780,IERS2010 latitude +31.8075 N longitude 0.7928 E elevation 419259.1 m,34.9203,28.7224,0.02,0.03,0.014,41.264,329.699,65.977,0.001,-0.001,-0.002
126,2022-04-16 15:06:57.345814,IERS2010 latitude +31.6226 N longitude 1.0053 E elevation 419242.1 m,34.9558,28.5419,0.019,0.031,0.015,39.871,329.824,65.656,-0.0,0.001,0.001
127,2022-04-16 15:07:01.497999,IERS2010 latitude +31.4369 N longitude 1.2173 E elevation 419225.3 m,35.0269,28.6459,0.016,0.033,0.014,37.935,330.217,66.101,0.003,0.001,-0.001
128,2022-04-16 15:07:05.661167,IERS2010 latitude +31.2515 N longitude 1.4277 E elevation 419208.7 m,35.1336,28.7652,0.02,0.031,0.013,37.875,330.369,66.637,-0.003,0.001,0.001
129,2022-04-16 15:07:09.829451,IERS2010 latitude +31.0651 N longitude 1.6377 E elevation 419192.1 m,35.0803,28.8417,0.02,0.031,0.014,38.035,330.285,66.759,-0.002,0.001,-0.0
130,2022-04-16 15:07:13.986357,IERS2010 latitude +30.8784 N longitude 1.8468 E elevation 419175.7 m,34.9914,28.6551,0.025,0.029,0.015,39.735,329.805,66.616,-0.001,-0.0,0.001
131,2022-04-16 15:07:18.140226,IERS2010 latitude +30.6917 N longitude 2.0546 E elevation 419159.4 m,35.0269,28.7683,0.019,0.032,0.015,38.488,330.088,67.129,-0.001,-0.0,-0.001
132,2022-04-16 15:07:23.314288,IERS2010 latitude +30.4591 N longitude 2.3116 E elevation 419139.4 m,34.9914,28.6826,0.02,0.031,0.014,37.848,329.94,66.96,-0.001,-0.002,-0.002
133,2022-04-16 15:07:27.490872,IERS2010 latitude +30.2710 N longitude 2.5180 E elevation 419123.4 m,34.9914,28.7224,0.019,0.032,0.014,37.078,330.602,67.2,-0.0,0.0,0.002
134,2022-04-16 15:07:32.652474,IERS2010 latitude +30.0365 N longitude 2.7736 E elevation 419103.7 m,34.9736,29.9952,0.02,0.03,0.014,35.979,330.359,67.719,0.001,-0.001,0.001
135,2022-04-16 15:07:36.824323,IERS2010 latitude +29.8483 N longitude 2.9773 E elevation 419088.1 m,34.9736,28.6,0.02,0.032,0.013,35.584,330.334,67.447,0.001,-0.001,-0.002
136,2022-04-16 15:07:41.984733,IERS2010 latitude +29.6128 N longitude 3.2305 E elevation 419068.9 m,34.9558,28.5419,0.023,0.031,0.015,35.622,330.198,67.337,0.0,-0.0,-0.003
